sample_ID,sample_name,sample_name_ID,sample_name_short,rock_type,rock_type_short,rock_type_ID,x3He_4He_vesicle,x3He_4He_vesicle_2s,x3He_4He_glass,x3He_4He_glass_2s,He_cc_STP_g_vesicle,He_cc_STP_g_glass,latitude,longitude,latitude_start,latitude_end,longitude_start,longitude_end,depth_m,depth_m_start,depth_m_end,location_ref,collection,expedition_ID,loihi_location_ID,location,rock_type_flag,rock_type_ref,rock_type_notes,rock_type_orig_dave,location_short,expedition,collection_type,depth_calc,lat_lon_calc,expedition_year,expedition_month,CO2_cc_STP_g_vesicle,CO2_ppm_vesicle,CO2_cc_STP_g_glass,CO2_ppm_glass,CO2_ppm_glass_stdev,H2O_wt_pct_glass,H2O_wt_pct_glass_stdev,Cl_wt_pct,S_wt_pct,K_wt_pct,Ti_wt_pct,F_wt_pct,SiO2_wt_pct,TiO2_wt_pct,Al2O3_wt_pct,FeO_wt_pct,MnO_wt_pct,MgO_wt_pct,CaO_wt_pct,Na2O_wt_pct,K2O_wt_pct,P2O5_wt_pct,total_wt_pct_old,Mg_number_old,Alkalinity_index,K_ppm,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Mo_ppm,Sn_ppm,Cs_ppm,Ba_ppm,Hf_ppm,Ta_ppm,W_ppm,Tl_ppm,Pb_ppm,Th_ppm,U_ppm,Sc_ppm,Ti_ppm,V_ppm,Mn_ppm,Ni_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Gd_ppm,Tb_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm,x208Pb_204Pb,error_208Pb_204Pb,x207Pb_204Pb,error_207Pb_204Pb,x206Pb_204Pb,error_206Pb_204Pb
43,Shinkai6500 513-5,Shinkai 6500-513-5,S 513-5,Transitional Basalt,Tr,3,26.10581298,0.202278629,26.06223364,0.22866084,1.44562e-7,2.09479e-7,18.7702,-155.1817,NA,NA,NA,NA,3936,NA,NA,shinkai-onboard,S513,2,1,South Rift,NA,dg-IEDA-2023,NA,TB,S. Rift,1999 Shinkai 6K YK 99-07,dive,NA,NA,1999,8,0.00708,13.898456321941644,0.09373127272727273,184,4.838745113,0.801734311,0.022051578,0.0651,0.168,0.505,1.786,0.053,48.85,2.93,14.14,10.98,0.17,6.7,11.76,3.04,0.64,0.29,99.52,54.7,0.04,4907,11.61,423,29.3,168.8,19.46,0.92,1.74,0.121,162,4.3,1.31,0.21,0.03,1.46,1.21,0.32,29.6,17525,364,1273,106.67,15.65,37.35,5.1,23.56,5.85,1.99,6.13,0.91,5.59,1.02,2.78,0.36,2.3,0.32,NA,NA,NA,NA,NA,NA
44,Shinkai6500 513-6,Shinkai 6500-513-6,S 513-6,Transitional Basalt,Tr,3,26.13754702,0.213148212,26.0642155,0.213381511,6.47911e-7,3.32487e-7,18.7714,-155.1817,NA,NA,NA,NA,3936,NA,NA,shinkai-onboard,S513,2,1,South Rift,NA,dg-IEDA-2023,NA,TB,S. Rift,1999 Shinkai 6K YK 99-07,dive,NA,NA,1999,8,0.0543,106.59409297760328,0.09373127272727273,184,17.77868478,1.005124128,0.013368747,0.0829,0.172,0.505,1.674,0.071,48.49,2.89,13.85,10.85,0.16,6.95,11.84,2.96,0.65,0.31,98.95,55.9,0.1,5037,11.99,428,29.5,171.5,19.78,0.93,1.79,0.126,166,4.38,1.31,0.22,0.029,1.54,1.24,0.33,30.1,17489,364,1268,124.45,15.78,37.98,5.15,23.38,5.8,1.99,6.14,0.91,5.46,1.01,2.76,0.36,2.31,0.32,38.1324653,0.002367745,15.47165291,0.001284729,18.39771589,0.002404644
45,Shinkai6500 513-7A,Shinkai 6500-513-7A,S 513-7A,Tholeiite,Th,4,27.38530392,0.222923249,27.27348959,0.211460373,5.84598e-7,3.86917e-7,18.7714,-155.1817,NA,NA,NA,NA,3936,NA,NA,shinkai-onboard,S513,2,1,South Rift,NA,dg-IEDA-2023,NA,TH,S. Rift,1999 Shinkai 6K YK 99-07,dive,NA,NA,1999,8,0.039,76.5592932988311,0.09882536363636364,194,17,0.744,0.015,0.0463,0.169,0.435,1.66,0.051,49.46,2.77,13.8,11.31,0.18,7,11.85,2.77,0.53,0.28,99.95,55.1,-0.57,4510,10.72,389,28.4,155.9,18.55,0.87,1.83,0.105,149,4.03,1.21,0.2,0.028,1.31,1.06,0.31,29.7,16962,349,1297,86.96,13.78,32.89,4.55,21.54,5.52,1.87,5.88,0.89,5.43,1.03,2.77,0.36,2.29,0.33,38.16364615,5.765e-4,15.47386976,2.23e-4,18.4389186,2.655e-4
46,Shinkai6500 515-1,Shinkai 6500-515-1,S 515-1,Alkali Basalt,Alk,2,25.28258012,0.216104355,24.89514981,0.331624573,4.91772e-7,1.05915e-7,18.8037,-155.203,NA,NA,NA,NA,3060,NA,NA,shinkai-onboard,S515,2,1,South Rift,NA,dg-IEDA-2023,NA,AB,S. Rift,1999 Shinkai 6K YK 99-07,dive,NA,NA,1999,8,0.0453,88.92656375479612,0.0616385,121,4.361585904,1.174445033,0.05173343,0.0765,0.21,0.789,1.927,0.087,46.6,3.29,14.57,11.46,0.17,5.47,11.04,3.41,0.97,0.4,97.38,48.6,1.56,8023,19.9,592,28.2,196.6,29.74,1.46,2.08,0.204,284,4.82,1.82,0.35,0.048,2.19,1.75,0.52,23.2,20536,401,1347,66.29,23.63,54.66,7.16,31.54,7.24,2.39,7.2,1.04,5.91,1.1,2.96,0.38,2.38,0.33,38.09365675,9.24936e-4,15.46940191,7.59e-5,18.34821894,1.94837e-4
47,TUNE04WT-003Da,TUNE04WT-003A,TUNE 3A,Tholeiite (North Rift),Th (N),5,30.563651,0.218577309,30.55593993,0.328145551,1.41711e-6,4.66673e-7,19,-155.2683,19,19.0017,-155.2683,-155.26,1900,1900,1830,gdc-sio2018,TUNE003D,3,2,North Rift,NA,graham2023-supp,NA,TH,N. Rift,1991 TUNE04WT,dredge,TRUE,TRUE,1991,10,0.0608,119.35397519407513,0.028526909090909092,56,2,0.492,0.007,0.0109,0.129,0.259,1.3,0.013,49.8,2.14,13.41,10.77,0.14,8.37,11.32,2.39,0.33,0.19,98.86,60.6,-1.28,2565,4.85,298,24.2,123,10.64,0.49,1.39,0.049,74,3.2,0.73,0.11,0.016,0.82,0.61,0.17,30.9,13515,334,1342,160.57,8.74,22.41,3.26,15.9,4.31,1.54,4.72,0.73,4.55,0.86,2.33,0.3,1.92,0.27,37.95117111,0.003286805,15.44567827,0.001466541,18.17257818,0.001919983
48,TUNE04WT-003Db,TUNE04WT-003B,TUNE 3B,Tholeiite (North Rift),Th (N),5,30.70792641,0.264558414,30.7493097,0.233206728,7.93839e-7,5.33696e-7,19,-155.2683,19,19.0017,-155.2683,-155.26,1900,1900,1830,gdc-sio2018,TUNE003D,3,2,North Rift,NA,graham2023-supp,NA,TH,N. Rift,1991 TUNE04WT,dredge,TRUE,TRUE,1991,10,0.0324,63.60310520210582,0.02088577272727273,41,5,0.499,0.019,0.0098,0.127,0.26,1.296,0.05,50.22,2.14,13.54,10.86,0.18,8.26,11.4,2.4,0.32,0.19,99.51,60.1,-1.43,2661,5,293,22.5,114.5,10.49,0.5,1.43,0.052,74,2.99,0.69,0.1,0.017,0.87,0.58,0.18,30.6,13595,343,1362,160.6,8.58,22.69,3.2,15.57,4.21,1.53,4.51,0.71,4.39,0.83,2.22,0.29,1.9,0.26,NA,NA,NA,NA,NA,NA
49,TUNE04WT-003Dc,TUNE04WT-003C,TUNE 3C,Tholeiite (North Rift),Th (N),5,30.68238953,0.238388708,30.67522076,0.232795136,1.33685e-6,4.9362e-7,19,-155.2683,19,19.0017,-155.2683,-155.26,1900,1900,1830,gdc-sio2018,TUNE003D,3,2,North Rift,NA,graham2023-supp,NA,TH,N. Rift,1991 TUNE04WT,dredge,TRUE,TRUE,1991,10,0.0564,110.71651646292496,0.025470454545454546,50,1,0.494,0.008,0.0104,0.127,0.261,1.275,NA,50.02,2.14,13.52,10.85,0.18,8.24,11.33,2.42,0.33,0.2,99.23,60.1,-1.33,2593,4.87,297,23.9,121.9,10.51,0.5,1.37,0.051,74,3.18,0.71,0.1,0.017,0.84,0.61,0.17,30.8,13491,336,1347,158.44,8.8,22.68,3.24,15.82,4.32,1.53,4.65,0.72,4.48,0.84,2.26,0.3,1.89,0.26,NA,NA,NA,NA,NA,NA
50,TUNE04WT-004Da,TUNE04WT-004A,TUNE 4A,Alkali Basalt,Alk,2,25.41862336,0.182251337,22.99904334,0.490160521,1.80045e-6,2.45044e-8,18.7583,-155.2083,18.7583,18.7733,-155.2083,-155.19,4200,4200,3900,gdc-sio2018,TUNE004D,3,1,South Rift,NA,graham2023-supp,NA,AB,S. Rift,1991 TUNE04WT,dredge,TRUE,TRUE,1991,10,0.172,337.64611403587037,0.051959727272727275,102,3.629058835,1.875730679,0.045654839,0.0972,0.166,0.717,1.959,0.056,47.23,3.17,14.48,11.36,0.15,5.79,11.1,3.33,0.86,0.37,97.85,50.2,1.14,7329,17.69,571,23.1,178.2,26.27,1.26,2.11,0.177,240,4.27,1.6,0.3,0.047,2.03,1.51,0.47,24.2,18710,358,1278,80.84,19.62,47.34,6.19,26.81,6.3,2.1,5.96,0.83,4.72,0.83,2.17,0.28,1.71,0.23,38.1184708,8.74001e-4,15.46789897,3.09e-5,18.36284926,5.68161e-4
51,TUNE04WT-004Db,TUNE04WT-004B,TUNE 4B,Alkali Basalt,Alk,2,25.32886439,0.157682622,18.91619041,0.757552927,9.0705e-7,9.61212e-9,18.7583,-155.2083,18.7583,18.7733,-155.2083,-155.19,4200,4200,3900,gdc-sio2018,TUNE004D,3,1,South Rift,NA,graham2023-supp,NA,AB,S. Rift,1991 TUNE04WT,dredge,TRUE,TRUE,1991,10,0.0839,164.70063353261358,0.06265731818181818,123,4.838745113,1.81690616,0.080953064,0.0957,0.178,0.711,1.93,0.084,47,3.22,14.48,11.57,0.16,5.99,11.1,3.31,0.85,0.37,98.05,50.6,1.2,7354,18.23,586,23.2,178.1,26.66,1.32,2.15,0.176,252,4.55,1.63,0.32,0.049,2.05,1.51,0.46,24.6,18669,352,1248,77.81,20.12,45.48,6.18,27.76,6.53,2.17,6.26,0.86,5.04,0.87,2.3,0.29,1.77,0.24,NA,NA,NA,NA,NA,NA
52,TUNE04WT-004Dc,TUNE04WT-004C,TUNE 4C,Alkali Basalt,Alk,2,NA,NA,NA,NA,NA,NA,18.7583,-155.2083,18.7583,18.7733,-155.2083,-155.19,4200,4200,3900,gdc-sio2018,TUNE004D,3,1,South Rift,NA,NA,NA,NA,S. Rift,1991 TUNE04WT,dredge,TRUE,TRUE,1991,10,NA,NA,0.062147909090909094,122,2.63645012,1.800664844,0.02546605,0.0938,0.17,0.692,1.915,0.07,47.60030289,3.138715047,14.46119185,11.32104294,0.181964072,5.947932349,11.16364327,3.339401064,0.838985737,0.373407538,98.36658677,NA,NA,7439,18.06,577,23.1,174.9,26.18,1.32,2.17,0.181,242,4.38,1.59,0.29,0.045,2.05,1.52,0.48,23.5,19351,375,1324,78.66,20.32,49.06,6.32,27.93,6.5,2.18,6.14,0.86,4.88,0.86,2.23,0.28,1.75,0.23,NA,NA,NA,NA,NA,NA
