"","census_ID","census_tract_number","n_number","pb_ppm_average","cumulative_risk_index","pb_ppm_average_level","NAME","STATEFP","COUNTYFP","TRACTCE","GEOID","NAMELSAD","MTFCC","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","geometry"
"1",1,750.04,18,610.7,1,"10","750.04","06","059","075004","06059075004","Census Tract 750.04","G5020","S",344531,0,"+33.7582622","-117.8656949",list(list(c(-117.86761, -117.867606, -117.8676, -117.867601, -117.867602, -117.867603, -117.867603, -117.867592, -117.86759, -117.867584, -117.867582, -117.867584, -117.86759, -117.867593, -117.867589, -117.867579, -117.867577, -117.867575, -117.867573, -117.867563, -117.86756, -117.867558, -117.867551, -117.86755, -117.867547, -117.867538, -117.867536, -117.867533, -117.867524, -117.867522, -117.867285, -117.866573, -117.866337, -117.866097, -117.865379, -117.86514, -117.8651, -117.864983, -117.864944, 
-117.864763, -117.864577, -117.864527, -117.864399, -117.86422, -117.864039, -117.864003, -117.863895, -117.863859, -117.863606, -117.863557, -117.863393, -117.863228, -117.86318, -117.862953, -117.862721, -117.862478, -117.862445, -117.862202, -117.862093, -117.862016, -117.862236, -117.862255, -117.862419, -117.862615, -117.862836, -117.862972, -117.863212, -117.863239, -117.86332, -117.863348, -117.863478, -117.863869, -117.864, -117.863999, -117.863997, -117.863997, -117.864, -117.863999, -117.863999, 
-117.863999, -117.863999, -117.864, -117.864, -117.864001, -117.864002, -117.864516, -117.864517, -117.86453, -117.86453, -117.86455, -117.86471, -117.864746, -117.865349, -117.86555, -117.865745, -117.866334, -117.86653, -117.866586, -117.86761, -117.86761, 33.75431, 33.754476, 33.75479, 33.754977, 33.755144, 33.755276, 33.755628, 33.75673, 33.756946, 33.757594, 33.75781, 33.758032, 33.758699, 33.758922, 33.759144, 33.759811, 33.760034, 33.760108, 33.760207, 33.760726, 33.7609, 33.76095, 33.7611, 
33.761151, 33.761273, 33.76164, 33.761763, 33.761918, 33.762383, 33.762539, 33.762539, 33.762541, 33.762542, 33.76254, 33.762537, 33.762536, 33.762536, 33.762536, 33.762536, 33.762529, 33.762523, 33.762522, 33.762517, 33.762511, 33.762506, 33.762446, 33.762266, 33.762206, 33.761785, 33.761714, 33.761476, 33.761259, 33.761196, 33.760924, 33.760669, 33.760423, 33.760392, 33.760167, 33.760074, 33.760007, 33.760008, 33.760009, 33.760011, 33.760014, 33.760017, 33.760016, 33.760016, 33.760016, 33.760016, 
33.760016, 33.760016, 33.760017, 33.760018, 33.759798, 33.75914, 33.758921, 33.7587, 33.758034, 33.757813, 33.757598, 33.756954, 33.75674, 33.756517, 33.75585, 33.755628, 33.755627, 33.755311, 33.75404, 33.75343, 33.753434, 33.75347, 33.753468, 33.753447, 33.75344, 33.753437, 33.753432, 33.75343, 33.753429, 33.75342, 33.75431)))
"2",2,750.03,27,356.4,1,"10","750.03","06","059","075003","06059075003","Census Tract 750.03","G5020","S",526187,0,"+33.7572599","-117.8707228",list(list(c(-117.876447, -117.876437, -117.876434, -117.876434, -117.876128, -117.875518, -117.87484, -117.874675, -117.874624, -117.87359, -117.873533, -117.873437, -117.872494, -117.872489, -117.872474, -117.87247, -117.872468, -117.872463, -117.872462, -117.87246, -117.872456, -117.872456, -117.872479, -117.872548, -117.872572, -117.87257, -117.872567, -117.872552, -117.872548, -117.872329, -117.871674, -117.871456, -117.87142, -117.871313, -117.871278, -117.870947, -117.869956, -117.869626, -117.869621, 
-117.869606, -117.869602, -117.869186, -117.867938, -117.867522, -117.867524, -117.867533, -117.867536, -117.867538, -117.867547, -117.86755, -117.867551, -117.867558, -117.86756, -117.867563, -117.867573, -117.867575, -117.867577, -117.867579, -117.867589, -117.867593, -117.86759, -117.867584, -117.867582, -117.867584, -117.86759, -117.867592, -117.867603, -117.867603, -117.867602, -117.867601, -117.8676, -117.867606, -117.86761, -117.86761, -117.8677, -117.86792, -117.86837, -117.86864, -117.868854, 
-117.86887, -117.869496, -117.86971, -117.869903, -117.870485, -117.87068, -117.870939, -117.87098, -117.871719, -117.87198, -117.872086, -117.872404, -117.87251, -117.872511, -117.872517, -117.87252, -117.872732, -117.873368, -117.87358, -117.873796, -117.874444, -117.87466, -117.874864, -117.875476, -117.87556, -117.87568, -117.875702, -117.875769, -117.875792, -117.876178, -117.87649, -117.876447, 33.75474, 33.755208, 33.7556, 33.75577, 33.755771, 33.755773, 33.755769, 33.755768, 33.755768, 33.755767, 
33.755767, 33.75577, 33.755767, 33.756187, 33.757448, 33.757869, 33.758083, 33.758726, 33.758941, 33.759161, 33.759821, 33.760042, 33.760041, 33.76004, 33.76004, 33.760136, 33.760386, 33.761425, 33.761772, 33.76177, 33.761766, 33.761765, 33.761764, 33.761763, 33.761763, 33.761763, 33.761767, 33.761769, 33.761926, 33.762398, 33.762556, 33.762552, 33.762542, 33.762539, 33.762383, 33.761918, 33.761763, 33.76164, 33.761273, 33.761151, 33.7611, 33.76095, 33.7609, 33.760726, 33.760207, 33.760108, 33.760034, 
33.759811, 33.759144, 33.758922, 33.758699, 33.758032, 33.75781, 33.757594, 33.756946, 33.75673, 33.755628, 33.755276, 33.755144, 33.754977, 33.75479, 33.754476, 33.75431, 33.75342, 33.75342, 33.7534, 33.7534, 33.75339, 33.75339, 33.75339, 33.753382, 33.75338, 33.753376, 33.753363, 33.75336, 33.753351, 33.75335, 33.75335, 33.75335, 33.75335, 33.75335, 33.75335, 33.753414, 33.753606, 33.75367, 33.753668, 33.753662, 33.75366, 33.753658, 33.753652, 33.75365, 33.75365, 33.75365, 33.75365, 33.75365, 33.75365, 
